e	k	m
0	6	2710.82
1	6	41237.0
2	6	225039.47000000006
3	6	662063.31
0	7	5719.72
1	7	130979.39999999997
2	7	1087302.6700000002
3	7	4361921.019999999
0	8	7505.39
1	8	215283.48999999996
2	8	2557756.730000001
3	8	1.5953369519999994E7
0	9	8372.010000000002
1	9	265644.83000000013
2	9	3816641.15
3	9	3.2336763090000007E7
0	10	8812.71
1	10	292330.97000000003
2	10	4591410.050000001
3	10	4.572297206999999E7
0	11	9078.65
1	11	307929.72000000003
2	11	5048377.859999999
3	11	5.443395110999999E7
0	12	9267.240000000003
1	12	318772.7899999999
2	12	5355068.8
3	12	6.019878200999998E7
